"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio","Domicilis","Ocupacio_mitjana_(persones_ per_domicili)"
2021,1,"Ciutat Vella",1,"el Raval",48688,17298,"2.81"
2021,1,"Ciutat Vella",2,"el Barri Gòtic",22850,6571,"3.48"
2021,1,"Ciutat Vella",3,"la Barceloneta",15125,6927,"2.18"
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",23009,10071,"2.28"
2021,2,"Eixample",5,"el Fort Pienc",33445,12782,"2.62"
2021,2,"Eixample",6,"la Sagrada Família",52164,21844,"2.39"
2021,2,"Eixample",7,"la Dreta de l'Eixample",44088,18426,"2.39"
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",43046,18044,"2.39"
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57906,24493,"2.36"
2021,2,"Eixample",10,"Sant Antoni",38700,16190,"2.39"
2021,3,"Sants-Montjuïc",11,"el Poble Sec",40204,15899,"2.53"
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1356,543,"2.50"
2021,3,"Sants-Montjuïc",13,"la Marina de Port",31092,11957,"2.60"
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10239,4231,"2.42"
2021,3,"Sants-Montjuïc",15,"Hostafrancs",16102,6681,"2.41"
2021,3,"Sants-Montjuïc",16,"la Bordeta",19451,7838,"2.48"
2021,3,"Sants-Montjuïc",17,"Sants - Badal",24903,10057,"2.48"
2021,3,"Sants-Montjuïc",18,"Sants",43679,17074,"2.56"
2021,4,"Les Corts",19,"les Corts",45943,18931,"2.43"
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon",23825,9670,"2.46"
2021,4,"Les Corts",21,"Pedralbes",11808,4179,"2.83"
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4760,1627,"2.93"
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià",24769,8729,"2.84"
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16356,5544,"2.95"
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25984,9428,"2.76"
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",47346,18626,"2.54"
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29986,12264,"2.45"
2021,6,"Gràcia",28,"Vallcarca i els Penitents",16325,6656,"2.45"
2021,6,"Gràcia",29,"el Coll",7688,3165,"2.43"
2021,6,"Gràcia",30,"la Salut",13455,5444,"2.47"
2021,6,"Gràcia",31,"la Vila de Gràcia",50456,22587,"2.23"
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",35352,14849,"2.38"
2021,7,"Horta-Guinardó",33,"el Baix Guinardó",25842,10740,"2.41"
2021,7,"Horta-Guinardó",34,"Can Baró",9320,3894,"2.39"
2021,7,"Horta-Guinardó",35,"el Guinardó",37325,15456,"2.41"
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues",9505,3754,"2.53"
2021,7,"Horta-Guinardó",37,"el Carmel",32724,12930,"2.53"
2021,7,"Horta-Guinardó",38,"la Teixonera",12044,4895,"2.46"
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",7385,2913,"2.54"
2021,7,"Horta-Guinardó",40,"Montbau",5114,2088,"2.45"
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron",5932,2380,"2.49"
2021,7,"Horta-Guinardó",42,"la Clota",698,281,"2.48"
2021,7,"Horta-Guinardó",43,"Horta",28055,10625,"2.64"
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25875,10503,"2.46"
2021,8,"Nou Barris",45,"Porta",27796,10190,"2.73"
2021,8,"Nou Barris",46,"el Turó de la Peira",16186,6282,"2.58"
2021,8,"Nou Barris",47,"Can Peguera",2215,929,"2.38"
2021,8,"Nou Barris",48,"la Guineueta",15267,6156,"2.48"
2021,8,"Nou Barris",49,"Canyelles",6813,2797,"2.44"
2021,8,"Nou Barris",50,"les Roquetes",16563,6029,"2.75"
2021,8,"Nou Barris",51,"Verdun",12865,5143,"2.50"
2021,8,"Nou Barris",52,"la Prosperitat",26868,10736,"2.50"
2021,8,"Nou Barris",53,"la Trinitat Nova",7628,2934,"2.60"
